sample,isi,spike_num,amp,NAME,DESC,SIZE,COLOR,PIC
9.69E+05,0.0041,3,-81.99555,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike0218.png
9.69E+05,0.017567,4,-262.002,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike0219.png
9.70E+05,0.0064667,5,-37.71495,NaN,NaN,200,0.85,http://web.media.mit.edu/~bdallen/spike0220.png
9.70E+05,0.0207,1,-262.08,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike0221.png
9.70E+05,0.006,2,-25.02435,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike0222.png
9.71E+05,0.013033,3,-43.52205,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike0223.png
9.76E+05,0.1685,-1,-285.1875,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0224.png
9.83E+05,0.22813,-1,-364.3575,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0225.png
9.85E+05,0.074667,-1,-266.8965,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0226.png
9.86E+05,0.0257,-1,-294.801,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0227.png
9.96E+05,0.35433,-1,-371.7675,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0228.png
1.00E+06,0.16047,-1,-356.226,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0229.png
1.00E+06,0.0712,-1,-374.6535,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0230.png
1.01E+06,0.076433,-1,-329.667,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0231.png
1.01E+06,0.11357,-1,-345.5205,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0232.png
1.01E+06,0.19003,-1,-372.879,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0233.png
1.02E+06,0.26503,-1,-377.949,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0234.png
1.04E+06,0.5045,1,-391.014,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike0235.png
1.04E+06,0.0175,2,-344.604,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike0236.png
1.04E+06,0.0048667,3,-220.0185,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike0237.png
1.04E+06,0.0046333,4,-49.43835,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike0238.png
1.04E+06,0.0098333,5,-21.8244,NaN,NaN,200,0.85,http://web.media.mit.edu/~bdallen/spike0239.png
1.05E+06,0.2672,-1,-286.5135,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0240.png
1.05E+06,0.0557,-1,-289.497,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0241.png
